_ORGANIZATION_ENTITY_URN,FIVETRAN_SYNCED,FOLLOWER_COUNTS_ORGANIC_FOLLOWER_COUNT,FOLLOWER_COUNTS_PAID_FOLLOWER_COUNT
urn:li:organization:1757770,2023-05-25,4,0
urn:li:organization:1757770,2023-05-25,52,0
urn:li:organization:1757770,2023-05-25,20,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,2,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,5,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,3,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,6,0
urn:li:organization:1757770,2023-05-25,5,0
urn:li:organization:1757770,2023-05-25,2,0
urn:li:organization:1757770,2023-05-25,2,0
urn:li:organization:1757770,2023-05-25,8,0
urn:li:organization:1757770,2023-05-25,2,0
urn:li:organization:1757770,2023-05-25,2,0
urn:li:organization:1757770,2023-05-25,1,0
urn:li:organization:1757770,2023-05-25,2,0
urn:li:organization:28978119,2023-04-04,1,0
urn:li:organization:28978119,2023-04-04,1,0
urn:li:organization:28981048,2023-04-04,1,0
urn:li:organization:28981048,2023-04-04,1,0
urn:li:organization:28978119,2023-04-04,3,0
urn:li:organization:28978119,2023-04-04,1,0
urn:li:organization:28981048,2023-04-04,1,0
urn:li:organization:28978119,2023-04-04,1,0
urn:li:organization:28978119,2023-04-04,3,0
urn:li:organization:28978119,2023-04-04,3,0
urn:li:organization:28978119,2023-04-04,1,0
urn:li:organization:28981048,2023-04-04,2,0
urn:li:organization:28981048,2023-04-04,6,0
urn:li:organization:28981048,2023-04-04,1,0
urn:li:organization:28981048,2023-04-04,2,0
urn:li:organization:28978119,2023-04-04,1,0
urn:li:organization:28978119,2023-04-04,5,0
urn:li:organization:28981048,2023-04-04,17,0
urn:li:organization:28981048,2023-04-04,1,0
urn:li:organization:28981048,2023-04-04,1,0
urn:li:organization:28981048,2023-04-04,1,0
urn:li:organization:28981048,2023-04-04,17,0
urn:li:organization:28978119,2023-04-04,1,0
urn:li:organization:28981048,2023-04-04,10,0
urn:li:organization:28978119,2023-04-04,1,0
urn:li:organization:28981048,2023-04-04,3,0
urn:li:organization:28981048,2023-04-04,23,0
urn:li:organization:28981048,2023-04-04,11,0
urn:li:organization:28981048,2023-04-04,1,0
urn:li:organization:28978119,2023-04-04,6,0
urn:li:organization:28978119,2023-04-04,2,0
urn:li:organization:28978119,2023-01-31,1,0
urn:li:organizationBrand:25736,2023-02-16,7,0
urn:li:organization:25736,2023-02-16,7,0
urn:li:organization:18124695,2023-02-28,2,0
urn:li:organization:18124695,2023-03-05,1,0
urn:li:organization:10043,2023-03-28,13,0
urn:li:organization:10043,2023-04-04,39,0
urn:li:organization:10043,2023-04-04,48,0
urn:li:organizationBrand:25736,2023-04-04,18,0
urn:li:organization:10043,2023-04-04,12,0
urn:li:organization:18124695,2023-04-04,509,0
urn:li:organizationBrand:28981048,2023-04-04,16,0
urn:li:organization:10043,2023-04-04,14,0
urn:li:organization:37930,2023-04-04,17,0
urn:li:organizationBrand:28978119,2023-04-04,2,0
urn:li:organization:10043,2023-04-04,42,0
urn:li:organization:37930,2023-04-04,6,0
urn:li:organization:18124695,2023-04-04,46,0
urn:li:organization:25736,2023-04-04,608,0
urn:li:organization:18124695,2023-04-04,4,0
urn:li:organization:18124695,2023-04-04,1,0
urn:li:organization:25736,2023-04-04,33,0
urn:li:organization:10043,2023-04-04,15,0
urn:li:organizationBrand:25736,2023-04-04,7,0
urn:li:organizationBrand:25736,2023-04-04,31,0
urn:li:organization:10043,2023-04-04,190,0
urn:li:organizationBrand:28978119,2023-04-04,6,0
urn:li:organization:10043,2023-04-04,24,0
urn:li:organizationBrand:25736,2023-04-04,452,0
urn:li:organization:25736,2023-04-04,1747,0
urn:li:organization:37930,2023-04-04,10,0
urn:li:organization:18124695,2023-04-04,7,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organizationBrand:25736,2023-04-04,20,0
urn:li:organization:18124695,2023-04-04,44,0
urn:li:organizationBrand:25736,2023-04-04,45,0
urn:li:organization:25736,2023-04-04,11,0
urn:li:organizationBrand:25736,2023-04-04,33,0
urn:li:organizationBrand:28981048,2023-04-04,2,0
urn:li:organizationBrand:25736,2023-04-04,68,0
urn:li:organization:25736,2023-04-04,190,0
urn:li:organization:37930,2023-04-04,3,0
urn:li:organizationBrand:25736,2023-04-04,28,0
urn:li:organization:10043,2023-04-04,771,0
urn:li:organizationBrand:28981048,2023-04-04,16,0
urn:li:organization:25736,2023-04-04,410,0
urn:li:organization:10043,2023-04-04,178,0
urn:li:organization:37930,2023-04-04,29,0
urn:li:organization:25736,2023-04-04,164,0
urn:li:organizationBrand:25736,2023-04-04,129,0
urn:li:organization:10043,2023-04-04,427,0
urn:li:organization:18124695,2023-04-04,1,0
urn:li:organization:25736,2023-04-04,33,0
urn:li:organization:18124695,2023-04-04,66,0
urn:li:organization:10043,2023-04-04,202,0
urn:li:organization:18124695,2023-04-04,73,0
urn:li:organizationBrand:25736,2023-04-04,12,0
urn:li:organization:25736,2023-04-04,68,0
urn:li:organization:18124695,2023-04-04,3,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
